td, id, tj, df, dd, db
397, 245, 395, Never attacked, Never attacked, 2
398, 2304, 385, 1, 12, 13
398, 2308, 390, 1, 7, 8
399, 2306, 387, 1, 11, 12
400, 2307, 388, 1, 11, 12
400, 2310, 393, 1, 6, 7
401, 2313, 399, 1, 1, 2
413, 2321, 408, 1, 4, 5
413, 2317, 404, 1, 8, 9
413, 2321, 408, 1, 4, 5
414, 2311, 395, 1, 18, 19
414, 2312, 396, 3, 15, 18
422, 2320, 407, 1, 14, 15
423, 2318, 405, 5, 13, 18
423, 2318, 405, 5, 13, 18
429, 2332, 423, 1, 5, 6
429, 2325, 411, 1, 17, 18
432, 251, 405, Never attacked, Never attacked, 27
432, 247, 399, Never attacked, Never attacked, 33
432, 255, 410, Never attacked, Never attacked, 22
432, 256, 411, Never attacked, Never attacked, 21
432, 120, 192, 1, 239, 240
432, 124, 197, 1, 234, 235
433, 142, 223, 33, 177, 210
433, 157, 247, 36, 150, 186
433, 156, 246, 36, 151, 187
433, 162, 256, 57, 120, 177
433, 167, 264, 71, 98, 169
433, 267, 431, Never attacked, Never attacked, 2
434, 2322, 409, 1, 24, 25
435, 2326, 412, 1, 22, 23
435, 2337, 432, 1, 2, 3
435, 2338, 434, 1, 0, 1
435, 2315, 403, 7, 25, 32
436, 2327, 414, 1, 21, 22
437, 2328, 416, 1, 20, 21
438, 2329, 417, 1, 20, 21
438, 259, 416, 1, 21, 22
439, 2330, 419, 1, 19, 20
439, 265, 428, 1, 10, 11
440, 254, 409, 1, 30, 31
440, 261, 419, 4, 17, 21
440, 258, 414, 1, 25, 26
447, 2331, 420, 3, 24, 27
447, 2333, 426, 9, 12, 21
447, 2334, 428, 8, 11, 19
447, 2335, 430, 7, 10, 17
448, 2336, 431, 7, 10, 17
448, 2339, 437, 2, 9, 11
449, 2340, 438, 2, 9, 11
450, 2341, 440, 7, 3, 10
452, 2300, 380, 1, 71, 72
452, 2301, 380, 1, 71, 72
456, 2342, 441, 7, 8, 15
456, 2352, 454, 1, 1, 2
457, 2351, 453, 1, 3, 4
457, 2351, 453, 1, 3, 4
457, 277, 444, 1, 12, 13
458, 275, 442, 1, 15, 16
458, 274, 441, 1, 16, 17
459, 2343, 442, 6, 11, 17
459, 2344, 443, 1, 15, 16
460, 2345, 444, 4, 12, 16
461, 2346, 447, 1, 13, 14
466, 2349, 452, 1, 13, 14
466, 2350, 452, 1, 13, 14
468, 281, 452, Never attacked, Never attacked, 16
468, 271, 437, Never attacked, Never attacked, 31
468, 159, 253, 48, 167, 215
468, 179, 286, 59, 123, 182
468, 161, 255, 54, 159, 213
468, 164, 261, 52, 155, 207
468, 290, 467, Never attacked, Never attacked, 1
469, 2347, 450, 1, 18, 19
470, 2353, 457, 1, 12, 13
471, 2354, 458, 1, 12, 13
471, 2355, 460, 1, 10, 11
472, 2356, 464, 1, 7, 8
472, 2358, 466, 4, 2, 6
474, 2362, 470, 1, 3, 4
474, 2362, 470, 1, 3, 4
474, 285, 458, 1, 15, 16
475, 286, 460, 1, 14, 15
475, 295, 472, 1, 2, 3
480, 299, 478, 1, 1, 2
482, 2367, 473, 1, 8, 9
483, 2361, 469, 1, 13, 14
486, 2376, 485, 1, 0, 1
489, 2374, 482, 1, 6, 7
487, 304, 485, 1, 1, 2
488, 2375, 484, 1, 3, 4
489, 2374, 482, 1, 6, 7
489, 2370, 478, 1, 10, 11
496, 308, 492, 1, 3, 4
497, 2369, 476, 1, 20, 21
498, 2371, 479, 1, 18, 19
499, 2379, 489, 1, 9, 10
500, 2382, 492, 1, 7, 8
501, 2385, 494, 1, 6, 7
502, 2386, 495, 1, 6, 7
506, 289, 466, Never attacked, Never attacked, 40
506, 292, 469, Never attacked, Never attacked, 37
506, 221, 359, 75, 72, 147
506, 239, 386, 84, 36, 120
506, 316, 505, Never attacked, Never attacked, 1
507, 2392, 505, 1, 1, 2
507, 314, 500, 1, 6, 7
511, 317, 510, 1, 0, 1
517, 318, 512, 1, 4, 5
517, 321, 516, 1, 0, 1
521, 2387, 498, 1, 22, 23
522, 2388, 499, 1, 22, 23
522, 2397, 514, 1, 7, 8
523, 2391, 502, 1, 20, 21
524, 2394, 512, 1, 11, 12
525, 2400, 517, 1, 7, 8
525, 2393, 510, 1, 14, 15
526, 2401, 519, 1, 6, 7
526, 2403, 522, 1, 3, 4
533, 315, 502, Never attacked, Never attacked, 31
533, 241, 388, 91, 54, 145
533, 242, 390, 90, 53, 143
533, 192, 306, 66, 161, 227
533, 324, 521, Never attacked, Never attacked, 12
533, 330, 532, Never attacked, Never attacked, 1
534, 2406, 527, 1, 6, 7
534, 2410, 533, 1, 0, 1
535, 2407, 528, 1, 6, 7
535, 2402, 521, 1, 13, 14
536, 2408, 531, 1, 4, 5
537, 2409, 532, 1, 4, 5
543, 2411, 534, 1, 8, 9
544, 2412, 536, 1, 7, 8
545, 2417, 541, 1, 3, 4
549, 2423, 547, 1, 1, 2
549, 2424, 548, 1, 0, 1
549, 2423, 547, 1, 1, 2
550, 335, 537, 1, 12, 13
