td, id, tj, df, dd, db
1420, 3056, 1400, 1, 19, 20
1420, 3067, 1411, 1, 8, 9
1420, 3068, 1411, 1, 8, 9
1421, 3057, 1402, 1, 18, 19
1422, 3061, 1406, 1, 15, 16
1423, 3066, 1410, 1, 12, 13
1423, 3069, 1415, 1, 7, 8
1424, 3071, 1418, 1, 5, 6
1424, 3073, 1421, 1, 2, 3
1425, 3074, 1422, 1, 2, 3
1431, 3077, 1426, 1, 4, 5
1431, 3072, 1420, 1, 10, 11
1431, 3075, 1424, 1, 6, 7
1431, 3076, 1424, 1, 6, 7
Earth Army Wins
Earth Army:
Total Earth Soldiers: 365
Total Earth Tanks: 188
Total Earth Gunnery: 179
Total Earth Healers: 47
Precentage of Destrcuted Earth Soldiers: 90%
Precentage of Destrcuted Earth Tanks: 47%
Precentage of Destrcuted Earth Gunnery: 98%
Precentage of Destrcuted Earth Army: 82%
Average DF of Earth Army: 37.5466
Average DD of Earth Army: 69.6988
Average DB of Earth Army: 114.244
DF/DB=32.8653%
DD/DB=61.0088%
Total Healed Percentage: 0.0487805

Alien Army:
Total Alien Soldiers: 387
Total Alien Monsters: 252
Total Alien Drones: 227
Precentage of Destrcuted Alien Soldiers: 100%
Precentage of Destrcuted Alien Monsters: 100%
Precentage of Destrcuted Alien Drones: 100%
Precentage of Destrcuted Alien Soldiers: 100%
Precentage of Destrcuted Alien Monsters: 100%
Precentage of Destrcuted Alien Drones: 100%
Precentage of Destrcuted Alien Army: 100%
Average DF of Alien Army: 4.97806
Average DD of Alien Army: 26.7552
Average DB of Alien Army: 31.7333
DF/DB=15.6872%
DD/DB=84.3128%
